DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE
2021-12-11 00:00:00,6.0,18288.64,270,-7.6,84,851
2021-12-11 00:15:00,6.0,18961.68,270,-7.6,86,851
2021-12-11 00:30:00,6.1,20312.46,270,-7.6,87,851
2021-12-11 00:45:00,6.1,21663.24,270,-7.7,88,850
2021-12-11 01:00:00,6.2,23014.02,270,-7.7,89,850
2021-12-11 01:15:00,6.2,24619.54,270,-7.7,90,850
2021-12-11 01:30:00,6.3,26478.86,270,-7.8,91,850
2021-12-11 01:45:00,6.3,27528.48,270,-7.8,92,850
2021-12-11 02:00:00,6.4,28269.12,270,-7.9,93,850
2021-12-11 02:15:00,6.3,29141.2,270,-8.0,93,850
2021-12-11 02:30:00,6.1,29144.72,270,-8.2,94,850
2021-12-11 02:45:00,6.0,29148.24,270,-8.3,94,850
2021-12-11 03:00:00,5.8,28489.22,270,-8.5,95,850
2021-12-11 03:15:00,5.6,28161.56,274,-8.7,94,850
2021-12-11 03:30:00,5.5,26502.0,281,-8.9,93,850
2021-12-11 03:45:00,5.3,24035.55,289,-9.0,91,850
2021-12-11 04:00:00,5.2,23445.73,296,-9.2,90,850
2021-12-11 04:15:00,5.1,22426.5,300,-9.4,88,850
2021-12-11 04:30:00,5.0,21180.0,300,-9.6,85,850
2021-12-11 04:45:00,4.9,19602.0,300,-9.9,82,850
2021-12-11 05:00:00,4.8,19085.88,300,-10.1,79,850
2021-12-11 05:15:00,4.7,18402.78,300,-10.3,77,850
2021-12-11 05:30:00,4.7,17252.4,300,-10.5,76,850
2021-12-11 05:45:00,4.6,16102.02,300,-10.6,75,850
2021-12-11 06:00:00,4.6,14951.64,300,-10.8,74,850
2021-12-11 06:15:00,4.6,14136.54,300,-10.9,73,850
2021-12-11 06:30:00,4.6,13656.72,300,-11.0,73,850
2021-12-11 06:45:00,4.5,13177.56,300,-11.0,73,850
2021-12-11 07:00:00,4.5,12697.74,300,-11.1,73,850
2021-12-11 07:15:00,4.5,12516.24,300,-11.1,73,850
2021-12-11 07:30:00,4.5,12633.06,300,-11.2,72,850
2021-12-11 07:45:00,4.4,12749.22,300,-11.3,71,850
2021-12-11 08:00:00,4.4,12866.04,300,-11.4,70,850
2021-12-11 08:15:00,4.4,13112.88,300,-11.4,69,850
2021-12-11 08:30:00,4.3,13491.06,300,-11.5,68,850
2021-12-11 08:45:00,4.2,13868.58,300,-11.6,67,851
2021-12-11 09:00:00,4.1,14246.76,300,-11.7,66,851
2021-12-11 09:15:00,4.1,14740.44,300,-11.6,64,851
2021-12-11 09:30:00,4.1,15350.94,300,-11.3,62,851
2021-12-11 09:45:00,4.0,15961.44,300,-10.9,59,851
2021-12-11 10:00:00,4.0,16571.94,300,-10.6,57,851
2021-12-11 10:15:00,4.0,17148.12,300,-10.1,55,851
2021-12-11 10:30:00,3.9,17689.98,300,-9.5,52,851
2021-12-11 10:45:00,3.9,18232.5,300,-8.8,50,851
2021-12-11 11:00:00,3.8,18774.36,300,-8.2,47,851
2021-12-11 11:15:00,3.8,18949.26,300,-7.7,45,851
2021-12-11 11:30:00,3.9,18757.2,300,-7.3,44,851
2021-12-11 11:45:00,3.9,18564.48,300,-6.8,42,850
2021-12-11 12:00:00,4.0,18372.42,300,-6.4,41,850
2021-12-11 12:15:00,4.0,19569.0,296,-6.0,40,850
2021-12-11 12:30:00,4.1,22155.54,289,-5.7,39,850
2021-12-11 12:45:00,4.2,24742.08,281,-5.4,38,850
2021-12-11 13:00:00,4.3,27328.62,274,-5.1,37,850
2021-12-11 13:15:00,4.4,29827.38,270,-4.9,36,850
2021-12-11 13:30:00,4.5,32239.68,270,-4.6,36,850
2021-12-11 13:45:00,4.6,34651.98,270,-4.3,35,849
2021-12-11 14:00:00,4.7,37064.28,270,-4.0,35,849
2021-12-11 14:15:00,4.7,38771.7,270,-3.8,35,849
2021-12-11 14:30:00,4.7,39774.24,270,-3.6,35,849
2021-12-11 14:45:00,4.7,40776.78,270,-3.5,36,849
2021-12-11 15:00:00,4.7,41779.32,270,-3.3,36,849
2021-12-11 15:15:00,4.7,41840.7,270,-3.2,36,849
2021-12-11 15:30:00,4.7,40960.92,270,-3.2,36,849
2021-12-11 15:45:00,4.7,40081.8,270,-3.1,37,849
2021-12-11 16:00:00,4.7,39202.02,270,-3.1,37,849
2021-12-11 16:15:00,4.7,37462.92,270,-3.1,37,849
2021-12-11 16:30:00,4.7,34863.18,270,-3.2,37,849
2021-12-11 16:45:00,4.7,32264.1,270,-3.3,38,849
2021-12-11 17:00:00,4.7,29664.36,270,-3.4,38,849
2021-12-11 17:15:00,4.6,27028.32,270,-3.8,39,849
2021-12-11 17:30:00,4.4,24354.66,270,-4.3,42,849
2021-12-11 17:45:00,4.2,21681.0,270,-4.8,44,849
2021-12-11 18:00:00,4.0,19007.34,270,-5.3,47,849
2021-12-11 18:15:00,3.8,16740.9,266,-5.9,50,849
2021-12-11 18:30:00,3.6,14882.34,259,-6.4,53,849
